,DBA,PHONE,Unnamed: 0,google_categories,google_price_level,google_rating,loc,yelp_categories,yelp_rating,yelp_review_count
221,57'S ALL AMERICAN GRILL,7183533057,221.0,,1.0,3.9,"3345 FRANCIS LEWIS BOULEVARD, QUEENS, NY, 11358 US",,,
222,575 PUB ON SECOND,9177703962,222.0,,,,"93 2ND AVE, MANHATTAN, NY, 10003 US",,,
223,57TH BELLE HOUSE,7184246412,223.0,,,,"151 E 57TH ST, MANHATTAN, NY, 10022 US",,,
224,59 CHINA,2127329250,224.0,,2.0,3.2,"59 NASSAU ST, MANHATTAN, NY, 10038 US",,,
225,59E59 BAR,2127535959,225.0,,,4.6,"59 EAST   59 STREET, MANHATTAN, NY, 10022 US",,,
226,5BAR KARAOKE,2125946644,226.0,,1.0,4.2,"38 WEST   32 STREET, MANHATTAN, NY, 10001 US",,,
227,5C CAFE & CULTURAL CENTER,2122541142,227.0,,1.0,4.0,"68 AVENUE C, MANHATTAN, NY, 10009 US",,,
228,5IVE SPICE,7188573483,228.0,,,4.6,"52 5TH AVE, BROOKLYN, NY, 11217 US",,,
229,5IVE STEAK,6464775291,229.0,,3.0,2.5,"0 JOHN F. KENNEDY INTL AIR, QUEENS, NY, 11430 US",,,
230,5TH & MAD,2127252353,230.0,,,,"7 EAST 36 STREET, MANHATTAN, NY, 10016 US",,,
231,5TH AVENUE ASIAN TASTE RESTAURANT,7187885878,231.0,,2.0,3.0,"718 5TH AVE, BROOKLYN, NY, 11215 US",,,
232,5TH AVENUE EMPIRE CAFE,2126860036,232.0,,2.0,3.4,"339 5 AVENUE, MANHATTAN, NY, 10016 US",,,
233,60 Beans,7187754094,233.0,,,4.7,"3602 DITMARS BLVD, QUEENS, NY, 11105 US",,,
234,61 LOCAL,3477636624,234.0,,1.0,4.4,"61 BEGEN STREET, BROOKLYN, NY, 11201 US",,,
235,619 BAR & RESTAURANT EL SALVADORENO,6466378179,235.0,,,,"395 E 151ST ST, BRONX, NY, 10455 US",,,
236,620 ON CATON,7184363502,236.0,,2.0,4.0,"620 CATON AVENUE, BROOKLYN, NY, 11218 US",,,
237,624 KAM HAI CHINESE FOOD,7187159889,237.0,,2.0,2.9,"624 CATON AVE, BROOKLYN, NY, 11218 US",,,
238,6321 YUAN BAO,7188361663,238.0,,,5.0,"6321 8 AVENUE, BROOKLYN, NY, 11220 US",,,
239,652 LIN'S GARDEN,7183662388,239.0,,,4.1,"652 SENECA AVENUE, QUEENS, NY, 11385 US",,,
240,658 KINGS DELI,7189875959,240.0,,,5.0,"658 NEW DORP LANE, STATEN ISLAND, NY, 10306 US",,,
241,67 BURGER,7183996767,241.0,,2.0,3.5,"234 FLATBUSH AVENUE, BROOKLYN, NY, 11217 US",,,
242,67 Burger,7187977150,242.0,,2.0,3.9,"67 LAFAYETTE AVENUE, BROOKLYN, NY, 11217 US",,,
243,67 CIAO,7189660300,243.0,,,1.0,"2945 VETERANS RD W, STATEN ISLAND, NY, 10309 US",,,
244,67 ORANGE STREET,2126622030,244.0,,3.0,4.1,"2082 FREDERICK DOUGLAS BOULEVARD, MANHATTAN, NY, 10026 US",,,
245,67 RESTAURANT,2125430924,245.0,,,,"366 AUDUBON AVENUE, MANHATTAN, NY, 10033 US",,,
246,678 AURORA CATERING,7187015828,246.0,,,,"3050 WHITESTONE EXPY, QUEENS, NY, 11354 US",,,
247,68 JAY STREET BAR,7182608207,247.0,,,4.1,"68 JAY STREET, BROOKLYN, NY, 11201 US",,,
248,68 MEI MEI BAKERY,7183318089,248.0,,,3.0,"7814 NEW UTRECHT AVENUE, BROOKLYN, NY, 11214 US",,,
249,68 TASTE OF CHINA,7184612100,249.0,,1.0,4.5,"6824 FRESH MEADOW LN, QUEENS, NY, 11365 US",,,
250,69 BAR LOUNGE,3475437183,250.0,,,2.9,"3821 69 STREET, QUEENS, NY, 11377 US",,,
251,69 PIZZERIA,7188988899,251.0,,2.0,4.4,"4917 69TH ST, QUEENS, NY, 11377 US",,,
252,696 GOURMET DELI,2124907115,252.0,,,2.8,"696 3 AVENUE, MANHATTAN, NY, 10017 US",,,
253,6B,2129222110,253.0,,,,"60 E 42ND ST, MANHATTAN, NY, 10165 US",,,
254,7 DAYS RESTAURANT,6466831717,254.0,,,4.8,"364 BAY ST, STATEN ISLAND, NY, 10301 US",,,
255,7 GRAMS CAFFE,2127271777,255.0,,,4.3,"275 7TH AVE, MANHATTAN, NY, 10001 US",,,
256,7 SPICES,3473268646,256.0,,,,"906908 E GUNHILL RD, BRONX, NY, 10469 US",,,
257,7 STARS RESTAURANT,7187476898,257.0,,1.0,3.9,"13209 14 AVENUE, QUEENS, NY, 11356 US",,,
258,7 TACOS MEXICAN CUISINE CORP,3475221047,258.0,,,4.8,"101 SHERMAN AVE, MANHATTAN, NY, 10034 US",,,
259,"70KING, BURGER KING, POPEYES LOUISIANA KITCHEN",7189693423,259.0,,,,"16417 UNION TURNPIKE, QUEENS, NY, 11366 US",,,
260,718 HOOKAH LOUNGE,7185207213,260.0,,,4.6,"7213 AUSTIN ST, QUEENS, NY, 11375 US",,,
261,718 LOUNGE & TAPAS,3478206105,261.0,,,4.7,"400 E 180TH ST, BRONX, NY, 10457 US",,,
262,729 BAR & GRILL,7184644445,262.0,,,,"20103 MURDOCK AVENUE, QUEENS, NY, 11412 US",,,
263,72ND STREET BAGEL,2125951300,263.0,,1.0,3.6,"130 WEST   72 STREET, MANHATTAN, NY, 10023 US",,,
264,739 FRANKLIN BAR & LOUNGE,3479150908,264.0,,,,"739 FRANKLIN AVENUE, BROOKLYN, NY, 11238 US",,,
265,750 MYRTLE DINER,2017599585,265.0,,,4.8,"750 MYRTLE AVE, BROOKLYN, NY, 11205 US",,,
266,765 FOOD MARKET,2126976080,266.0,,,4.2,"765 2 AVENUE, MANHATTAN, NY, 10017 US",,,
267,773 LOUNGE,9173328721,267.0,,,4.3,"773 CONEY ISLAND AVENUE, BROOKLYN, NY, 11218 US",,,
268,777 THEATER BAR,2125295810,268.0,,,3.0,"777 8TH AVE, MANHATTAN, NY, 10036 US",,,
269,7B BAR,2126776742,269.0,,2.0,3.9,"108 AVENUE B, MANHATTAN, NY, 10009 US",,,
270,7TH AVENUE DONUT SHOP,7187683410,270.0,,2.0,4.3,"324 7 AVENUE, BROOKLYN, NY, 11215 US",,,
271,8 DRAGON & PHOENIX CHINESE RESTAURANT,7185452228,271.0,,1.0,4.2,"2217 31ST ST, QUEENS, NY, 11105 US",,,
272,8 PAET RIO,9178326672,272.0,,,4.6,"8110 BROADWAY, QUEENS, NY, 11373 US",,,
273,8 ST GARDEN,7184359692,273.0,,,,"5805 8TH AVE, BROOKLYN, NY, 11220 US",,,
274,809 GRILL & BAR RESTAURANT,2123043800,274.0,,2.0,3.6,"112 DYCKMAN STREET, MANHATTAN, NY, 10040 US",,,
275,8090Tai Wanese #24,3477619033,275.0,,,,"13335 ROOSEVELT AVE, QUEENS, NY, 11354 US",,,
276,810 DELI & CAFE,2125414136,276.0,,2.0,3.6,"810 7 AVENUE, MANHATTAN, NY, 10019 US",,,
277,83 1/2,2127378312,277.0,,2.0,4.4,"345 EAST   83 STREET, MANHATTAN, NY, 10028 US",,,
278,83 KIEN TUONG RESTAURANT,2129662878,278.0,,1.0,3.5,"83 CHRYSTIE STREET, MANHATTAN, NY, 10002 US",,,
279,86 BAKERY,7182321294,279.0,,,3.1,"8512 18 AVENUE, BROOKLYN, NY, 11214 US",,,
280,86 BEST BAKERY,7189961310,280.0,,,,"1957 86 STREET, BROOKLYN, NY, 11214 US",,,
281,86 FU KEE CHINESE RESTAURANT,7182326083,281.0,,,3.6,"2211 86 STREET, BROOKLYN, NY, 11214 US",,,
282,86 NOODLES,7188335300,282.0,,2.0,3.3,"8608 4 AVENUE, BROOKLYN, NY, 11209 US",,,
283,876 BAR LOUNGE,6468415837,283.0,,,,"1320 E GUN HILL RD, BRONX, NY, 10469 US",,,
284,876 MARKET DELI,2122132431,284.0,,,4.3,"876 6TH AVE, MANHATTAN, NY, 10001 US",,,
285,88 CAFE,7183963888,285.0,,,4.0,"82-79 BROADWAY, QUEENS, NY, 11373 US",,,
286,88 CANTEEN,7188861555,286.0,,,3.7,"5846 MAIN STREET, QUEENS, NY, 11355 US",,,
287,88 CHINESE RESTAURANT,2122811288,287.0,,,,"473 LENOX AVENUE, MANHATTAN, NY, 10037 US",,,
288,88 DRAGON GARDEN,7186523137,288.0,,1.0,3.3,"3178 BAINBRIDGE AVE, BRONX, NY, 10467 US",,,
289,88 PALACE RESTAURANT,2129418886,289.0,,2.0,3.6,"88 EAST BROADWAY, MANHATTAN, NY, 10002 US",,,
290,888 KITCHEN,7188948889,290.0,,1.0,3.9,"6092 FLUSHING AVENUE, QUEENS, NY, 11378 US",,,
291,8TH STREET WINECELLAR,2122609463,291.0,,2.0,4.3,"28 W 8TH STREET, MANHATTAN, NY, 10011 US",,,
292,8TH WONDER JUICE BAR,6468613929,292.0,,1.0,4.1,"370 2ND AVE, MANHATTAN, NY, 10010 US",,,
293,900 PARK,7188923830,293.0,,2.0,3.9,"900 MORRIS PARK AVENUE, BRONX, NY, 10462 US",,,
294,9024/CATERING BY MICHAEL SCHICK INC.,7182578837,294.0,,,1.0,"9024 FOSTER AVENUE, BROOKLYN, NY, 11236 US",,,
295,95 SOUTH,3477506180,295.0,,,3.8,"778 FRANKLIN AVENUE, BROOKLYN, NY, 11238 US",,,
296,96 FAVOR TASTE RESTAURANT,7184609699,296.0,,,3.9,"13541 37TH AVE, QUEENS, NY, 11354 US",,,
297,96 SOUTH PARK,7183228555,297.0,,,,"9630 LINDEN BOULEVARD, QUEENS, NY, 11417 US",,,
298,969 NYC COFFEE,6462037304,298.0,,,5.0,"3761 80TH ST, QUEENS, NY, 11372 US",,,
299,983 BUSHWICK LIVING ROOM,7183861133,299.0,,1.0,4.5,"983 FLUSHING AVENUE, BROOKLYN, NY, 11206 US",,,
300,99 BANK,2125240030,300.0,,,3.3,"99 BANK ST, MANHATTAN, NY, 10014 US",,,
301,99 CENT EXPRESS PIZZA,2123155257,301.0,,1.0,4.3,"301 WEST   43 STREET, MANHATTAN, NY, 10036 US",,,
302,99 CENT FRESH PIZZA,2122452155,302.0,,,4.6,"1723 BROADWAY, MANHATTAN, NY, 10019 US",,,
303,99 CENT PIZZA,2129272200,303.0,,,1.0,"4151 BROADWAY, MANHATTAN, NY, 10033 US",,,
304,99 CENTS BEST & FRESH PIZZA,2124882388,304.0,,,4.2,"166 WEST 27 STREET, MANHATTAN, NY, 10001 US",,,
305,99 CENTS FRESH HOT PIZZA,7187973841,305.0,,,4.1,"51 WILLOUGHBY STREET, BROOKLYN, NY, 11201 US",,,
306,99 CENTS FRESH PIZZA,2126616221,306.0,,,4.2,"473-A LEXINGTON AVE, MANHATTAN, NY, 10017 US",,,
307,99 CENTS FRESH SLICE PIZZA,2123350803,307.0,,,,"105 STANTON ST, MANHATTAN, NY, 10002 US",,,
308,99 CENTS MEGA PIZZA,2123690369,308.0,,,5.0,"1875 LEXINGTON AVE, MANHATTAN, NY, 10035 US",,,
309,99 CENTS TASTY HOT PIZZA,2122681461,309.0,,,,"360 W 42ND ST, MANHATTAN, NY, 10036 US",,,
310,99 FAVOR TASTE,6466829122,310.0,,,4.2,"285 GRAND ST, MANHATTAN, NY, 10002 US",,,
311,99 FRESH PIZZA,2128898858,311.0,,,4.4,"201 EAST   34 STREET, MANHATTAN, NY, 10016 US",,,
312,99 MILES TO PHILLY,2122532700,312.0,,1.0,3.9,"94 3 AVENUE, MANHATTAN, NY, 10003 US",,,
313,99 ROGERS,7187084933,313.0,,,4.4,"99 ROGERS AVE, BROOKLYN, NY, 11216 US",,,
314,99Â¢ FAMOUS PIZZA,2127777122,314.0,,,,"430 EAST   14 STREET, MANHATTAN, NY, 10009 US",,,
315,99Â¢ FRESH PIZZA,2123665550,315.0,,,,"143 W 40TH ST, MANHATTAN, NY, 10018 US",,,
316,99Â¢ HOT PIZZA,7188021942,316.0,,,,"255 LIVINGSTON STREET, BROOKLYN, NY, 11217 US",,,
317,9TEN RESTAURANT,6464272834,317.0,,,4.6,"910 7TH AVE, MANHATTAN, NY, 10019 US",,,
318,9TH AVE SALOON,2123071503,318.0,,,4.6,"656 9 AVENUE, MANHATTAN, NY, 10036 US",,,
319,9TH STREET LUNCHEONETTE,7189239074,319.0,,,5.0,"7 9 STREET, BROOKLYN, NY, 11231 US",,,
320,@NINE,2123071363,320.0,,,4.4,"592 9 AVENUE, MANHATTAN, NY, 10036 US",,,
321,A & A BAKE SHOP,9178929562,321.0,,,4.4,"481 NOSTRAND AVENUE, BROOKLYN, NY, 11216 US",,,
322,A & B DELI & CATERING,7188433609,322.0,,,4.0,"12620 ROCKAWAY BOULEVARD, QUEENS, NY, 11420 US",,,
323,A & C COFFEE SHOP AND PIZZERIA,7183428395,323.0,,,4.3,"9002 AVENUE B, BROOKLYN, NY, 11236 US",,,
324,A & C GUYANA BAKERY & RESTAURANT,7184857808,324.0,,,4.0,"847 UTICA AVENUE, BROOKLYN, NY, 11203 US",,,
325,A & C KITCHEN,2126778112,325.0,,,,"134136 AVENUE C, MANHATTAN, NY, 10009 US",,,
326,A & J DELI FISH,9172093246,326.0,,,,"128 E 174TH ST, BRONX, NY, 10457 US",,,
327,A & K TACOS,7188538999,327.0,,1.0,3.0,"3806 FT HAMILTON PARKWAY, BROOKLYN, NY, 11218 US",,,
328,A & L PIZZA RESTAURANT,7188371405,328.0,,,4.5,"6024 18TH AVE, BROOKLYN, NY, 11204 US",,,
329,A & P ROTI & PASTRY SHOP,7182873289,329.0,,,4.0,"4902 CHURCH AVE, BROOKLYN, NY, 11203 US",,,
330,A & R FOOD SERVICE BLDG 14,7185532091,330.0,,,,"NKA JFK INTERNATIONAL AIRPORT, QUEENS, NY, 11430 US",,,
331,A & S CATERERS,7189837500,331.0,,,4.8,"3135 VICTORY BOULEVARD, STATEN ISLAND, NY, 10314 US",,,
332,A & S PIZZERIA,7184484142,332.0,,,,"87 STUYVESANT PLACE, STATEN ISLAND, NY, 10301 US",,,
333,A + A ASIAN RESTAURANT,7183189218,333.0,,,3.8,"9117 ROCKAWAY BEACH BLVD, QUEENS, NY, 11693 US",,,
334,A ASO SUSHI,2128888276,334.0,,2.0,3.3,"1103 1 AVENUE, MANHATTAN, NY, 10065 US",,,
335,A BAR,6469427210,335.0,,1.0,3.9,"597 MANHATTAN AVE, BROOKLYN, NY, 11222 US",,,
336,A CAFE,6467443104,336.0,,2.0,3.2,"42 WEST   58 STREET, MANHATTAN, NY, 10019 US",,,
337,A CANAAN SUSHI,2129479298,337.0,,2.0,3.9,"154 W 29TH ST, MANHATTAN, NY, 10001 US",,,
338,A CASA FOX,2122531900,338.0,,2.0,4.3,"173 ORCHARD STREET, MANHATTAN, NY, 10002 US",,,
339,A CHIBAN,7188318888,339.0,,,,"25213 UNION TURNPIKE, QUEENS, NY, 11426 US",,,
340,A GUSTO,3475339961,340.0,,,3.9,"1450 FULTON ST, BROOKLYN, NY, 11216 US",,,
341,A HOME,7182090999,341.0,,,,"6329 AVENUE N, BROOKLYN, NY, 11234 US",,,
342,A LA MODE SHOPPE,9176393401,342.0,,,4.8,"360 E 55TH ST, MANHATTAN, NY, 10022 US",,,
343,A LA SAIGON,2122279855,343.0,,2.0,3.7,"8 LIBERTY PLACE, MANHATTAN, NY, 10005 US",,,
344,A LA TURKA,2127442424,344.0,,2.0,3.8,"1417 2 AVENUE, MANHATTAN, NY, 10021 US",,,
345,A LITTLE TASTE CAFE (ALT BOX),2124311000,345.0,,,,"234 E 60TH ST, MANHATTAN, NY, 10022 US",,,
346,A LITTLE THIS & A LITTLE BIT OF THAT,9172171655,346.0,,,,"210 CLOVE RD, STATEN ISLAND, NY, 10310 US",,,
347,A LOVE FOR CAKES,3475176529,347.0,,,4.6,"6016 FRESH POND ROAD, QUEENS, NY, 11378 US",,,
348,A MODO MIO,3479723711,348.0,,,5.0,"128 METROPOLITAN AVE, BROOKLYN, NY, 11249 US",,,
349,A PLUS KITCHEN,6464764175,349.0,,,,"84 ELDRIDGE ST, MANHATTAN, NY, 10002 US",,,
350,A PLUS THAI PLACE,2122078080,350.0,,2.0,4.0,"1007 2ND AVE, MANHATTAN, NY, 10022 US",,,
351,A Plus Express/Chinese Restaurant,7183883888,351.0,,,,"794 BROADWAY, BROOKLYN, NY, 11206 US",,,
352,A SAFFRON THREAD,2126760313,352.0,,2.0,4.4,"98 CHAMBERS STREET, MANHATTAN, NY, 10007 US",,,
353,A SALT & BATTERY,2126912713,353.0,,2.0,4.2,"112 GREENWICH AVENUE, MANHATTAN, NY, 10011 US",,,
354,A SAN FUZHOU RESTAURANT,2123438389,354.0,,,,"7 ELDRIDGE STREET, MANHATTAN, NY, 10002 US",,,
355,A SLICE OF NEW YORK,2123999555,355.0,,2.0,3.2,"727 8 AVENUE, MANHATTAN, NY, 10036 US",,,
356,A SUSHI,7182686010,356.0,,,4.0,"7144 AUSTIN ST, QUEENS, NY, 11375 US",,,
357,A TASTE OF BENATERI'S AT EDGEWATER,7184636474,357.0,,,5.0,"11105 14TH AVE, QUEENS, NY, 11356 US",,,
358,A TASTE OF SEAFOOD RESTAURANT,3475706679,358.0,,,4.6,"2530 FREDERICK DOUGLASS BLVD, MANHATTAN, NY, 10030 US",,,
359,A TASTE OF SHANGHAI RESTAURANT,7188881636,359.0,,1.0,3.2,"3907 PRINCE ST, QUEENS, NY, 11354 US",,,
360,A TO Z CATERING,5164512238,360.0,,,,"22701 LINDEN BLVD, QUEENS, NY, 11411 US",,,
361,A VOCE,2125458555,361.0,,3.0,4.1,"41 MADISON AVENUE, MANHATTAN, NY, 10010 US",,,
362,A WIN XIN KITCHEN,7189191571,362.0,,1.0,4.5,"615 WILSON AVE, BROOKLYN, NY, 11207 US",,,
363,A&A GOURMET,7184680903,363.0,,1.0,5.0,"18809 UNION TURNPIKE, QUEENS, NY, 11366 US",,,
364,A&E Networks,2128576313,364.0,,,2.7,"235 E 45TH ST, MANHATTAN, NY, 10017 US",,,
365,A&E SUPPLY CO.,7186353388,365.0,,2.0,4.8,"548 4TH AVE, BROOKLYN, NY, 11215 US",,,
366,A&E TENOCHTITLAN DELI & TAQUERIA,7182956090,366.0,,,4.0,"2445 CRESTON AVENUE, BRONX, NY, 10468 US",,,
367,A&H DELI,2125636200,367.0,,,3.8,"431 7TH AVE, MANHATTAN, NY, 10001 US",,,
368,A&R HOT BAGELS,7184039342,368.0,,,,"350 VAN BRUNT ST, BROOKLYN, NY, 11231 US",,,
369,A&S Crown Fried Chicken,3477548841,369.0,,,,"14620 ROCKAWAY BLVD, QUEENS, NY, 11436 US",,,
370,A+ CHINESE RESTAURANT,7188866990,370.0,,,,"5906 KISSENA BLVD, QUEENS, NY, 11355 US",,,
371,A+ ROOF BAR,9178558916,371.0,,2.0,4.3,"3916 COLLEGE POINT BLVD, QUEENS, NY, 11354 US",,,
372,A-1 PIZZA SHOP,2125330214,372.0,,1.0,4.0,"505 GRAND STREET, MANHATTAN, NY, 10002 US",,,
373,A-JIAO SICHUAN CUISINE,2128288996,373.0,,,4.1,"1817 2ND AVE, MANHATTAN, NY, 10128 US",,,
374,A-ROMA BAKERY,7183888182,374.0,,,4.4,"475 GRAND STREET, BROOKLYN, NY, 11211 US",,,
375,A-WAH RESTAURANT,2129258308,375.0,,2.0,3.7,"5 CATHERINE STREET, MANHATTAN, NY, 10038 US",,,
376,A. CHURRASQUEIRA RESTAURANT,7185235293,376.0,,2.0,4.6,"9529 SUTPHIN BOULEVARD, QUEENS, NY, 11435 US",,,
377,A.G KITCHEN,2128739400,377.0,,2.0,4.2,"269 COLUMBUS AVENUE, MANHATTAN, NY, 10023 US",,,
378,A.I.G.CHARTIS,2127709648,378.0,,,,"175 WATER STREET, MANHATTAN, NY, 10038 US",,,
379,A.M. DELI JUICE BAR FOOD INC,2124810269,379.0,,,4.1,"308 E 116TH ST, MANHATTAN, NY, 10029 US",,,
380,A.N.Y. GRAND SICHUAN,2125800277,380.0,,2.0,3.1,"307 AMSTERDAM AVE, MANHATTAN, NY, 10023 US",,,
381,A.R'S TAVERN,7189396800,381.0,,,4.2,"1425 COLLEGE POINT BOULEVARD, QUEENS, NY, 11356 US",,,
382,A.R.E.B.A.-CASRIEL,2122933000,382.0,,,,"500 WEST   57 STREET, MANHATTAN, NY, 10019 US",,,
383,A.W.O.L. All Walks of Life,3474576658,383.0,,,4.3,"336 GRAHAM AVE, BROOKLYN, NY, 11211 US",,,
384,A.W.O.L. BAR & GRILL,6466829405,384.0,,,4.9,"337 3RD AVE, MANHATTAN, NY, 10010 US",,,
385,A1 JAMAICA BREEZE,7188994743,385.0,,,3.8,"10302 ASTORIA BLVD, QUEENS, NY, 11369 US",,,
386,A1 OCHA SUSHI,2125813198,386.0,,2.0,4.3,"350 W 46TH ST, MANHATTAN, NY, 10036 US",,,
387,AA ADMIRAL'S CLUB LOUNGE,6314135972,387.0,,,,"0 JFK AIRPORT, QUEENS, NY, 11430 US",,,
388,AA CHINESE RESTAURANT,7182992218,388.0,,,,"214 E BURNSIDE AVE, BRONX, NY, 10457 US",,,
389,AA JING,2122450800,389.0,,2.0,4.3,"689 9TH AVE, MANHATTAN, NY, 10036 US",,,
390,AAA CARIDAD,3472611758,390.0,,,,"3108 WEBSTER AVE, BRONX, NY, 10467 US",,,
391,AAA ICHIBAN SUSHI,2123880899,391.0,,2.0,3.3,"283 BROOME ST, MANHATTAN, NY, 10002 US",,,
392,AAA KENNEDY FRIED CHICKEN,7184470960,392.0,,,4.8,"253 BROADWAY, STATEN ISLAND, NY, 10310 US",,,
393,AAHAR,6466493374,393.0,,,4.4,"10 MURRAY ST, MANHATTAN, NY, 10007 US",,,
394,AAHELI,7186746298,394.0,,,4.1,"7151 YELLOWSTONE BLVD, QUEENS, NY, 11375 US",,,
395,AANCHAL NATURAL BRIDGE RESTAURANT,7183499061,395.0,,,5.0,"4512 23RD ST, QUEENS, NY, 11101 US",,,
396,AANGAN,2122804100,396.0,,2.0,4.0,"2701 BROADWAY, MANHATTAN, NY, 10025 US",,,
397,AARONS CHINESE AND THAI RESTAURANT,2125609858,397.0,,,2.6,"338 9TH AVE, MANHATTAN, NY, 10001 US",,,
398,ABA SUSHI,2125355798,398.0,,,3.4,"1588 YORK AVE, MANHATTAN, NY, 10028 US",,,
399,ABA TURKISH RESTAURANT,2129691782,399.0,,2.0,4.5,"325 WEST   57 STREET, MANHATTAN, NY, 10019 US",,,
400,ABACE SUSHI,2129771777,400.0,,,4.2,"695 9TH AVE, MANHATTAN, NY, 10036 US",,,
401,ABACKY POTLUCK,2129293809,401.0,,2.0,3.6,"253 W 26TH ST, MANHATTAN, NY, 10001 US",,,
402,ABALEH,2127721611,402.0,,1.0,4.5,"1611 2ND AVE, MANHATTAN, NY, 10028 US",,,
403,ABAYA THAI CUISINE,2128683399,403.0,,2.0,3.3,"318 WEST   36 STREET, MANHATTAN, NY, 10018 US",,,
404,ABBA BAR AND GRILL,3478449655,404.0,,1.0,3.9,"492 GRAND ST, BROOKLYN, NY, 11211 US",,,
405,ABBEY TAVERN,2126961011,405.0,,2.0,4.4,"354 3 AVENUE, MANHATTAN, NY, 10010 US",,,
406,ABC BEER CO.,6464227103,406.0,,1.0,4.7,"96 AVENUE C, MANHATTAN, NY, 10009 US",,,
407,ABC COCINA / ABCV,2126772233,407.0,,3.0,4.2,"38 EAST 19 STREET, MANHATTAN, NY, 10003 US",,,
408,ABC KITCHEN,2124755829,408.0,,3.0,4.4,"35 EAST   18 STREET, MANHATTAN, NY, 10003 US",,,
409,ABDULLAH SWEETS AND RESTAURANT,7187665381,409.0,,,3.8,"91 CHURCH AVE, BROOKLYN, NY, 11218 US",,,
410,ABI JAPANESE RESTAURANT,7186268882,410.0,,,4.6,"3271 31ST ST, QUEENS, NY, 11106 US",,,
411,ABIDE BROOKLYN PITA,7188327482,411.0,,2.0,4.2,"301 7TH AVE, BROOKLYN, NY, 11215 US",,,
412,ABIGAEL'S BROOKLYN,9176186310,412.0,,,,"620 ATLANTIC AVENUE, BROOKLYN, NY, 11217 US",,,
413,ABIGAEL'S ON BROADWAY,2125751407,413.0,,3.0,4.2,"1407 BROADWAY, MANHATTAN, NY, 10018 US",,,
414,ABIGAIL'S BAKESHOP,2164102355,414.0,,,4.6,"1413 BEDFORD AVE, BROOKLYN, NY, 11216 US",,,
415,ABIKO,2126950888,415.0,,,4.4,"2 W 32ND ST, MANHATTAN, NY, 10001 US",,,
416,ABIKO CURRY,2126950888,416.0,,,4.4,"2 WEST   32 STREET, MANHATTAN, NY, 10001 US",,,
417,ABILENE,7185226900,417.0,,2.0,4.2,"442 COURT STREET, BROOKLYN, NY, 11231 US",,,
418,ABIR HALAL RESTAURANT,7187896181,418.0,,1.0,4.6,"526 NOSTRAND AVENUE, BROOKLYN, NY, 11216 US",,,
419,ABITINO'S PIZZA,2127680043,419.0,,2.0,4.0,"1435 BROADWAY, MANHATTAN, NY, 10018 US",,,
420,ABITINO'S PIZZA(CONCOURSE C),7182441344,420.0,,,,"ONE JFK INTERNATIONAL AIRPORT, QUEENS, NY, 11430 US",,,
421,ABOUT COFFEE,8579398630,421.0,,,4.7,"71 SULLIVAN ST, MANHATTAN, NY, 10012 US",,,
422,ABOVE BALLROOM,7184772100,422.0,,,3.8,"1100 SOUTH AVENUE, STATEN ISLAND, NY, 10314 US",,,
423,ABOVE ROOFTOP,7184772400,423.0,,,3.8,"1100 SOUTH AVENUE, STATEN ISLAND, NY, 10314 US",,,
424,ABRACADABRA BROOKLYN,3478449157,424.0,,,4.3,"347 BEDFORD AVENUE, BROOKLYN, NY, 11211 US",,,
425,ABRACO,3476102034,425.0,,,,"81 E 7TH ST, MANHATTAN, NY, 10003 US",,,
426,ABSOLUTE BAGELS,2129322105,426.0,,1.0,4.6,"2788 BROADWAY, MANHATTAN, NY, 10025 US",,,
427,ABSOLUTE COFFEE,8484670916,427.0,,,4.5,"327 ATLANTIC AVE, BROOKLYN, NY, 11201 US",,,
428,ABSOLUTE THAI RESTAURANT,9178643259,428.0,,,,"1590 LEXINGTON AVE, MANHATTAN, NY, 10029 US",,,
429,ABUMI SUSHI,2125328783,429.0,,2.0,3.6,"207 E 26TH ST, MANHATTAN, NY, 10010 US",,,
430,ABURI SUSHI,7183878815,430.0,,,4.3,"769 GRAND ST, BROOKLYN, NY, 11211 US",,,
431,ABURIYA KINNOSUKE,2128675454,431.0,,3.0,4.4,"213 EAST   45 STREET, MANHATTAN, NY, 10017 US",,,
432,ABV,2127228959,432.0,,2.0,3.7,"1504 LEXINGTON AVENUE, MANHATTAN, NY, 10029 US",,,
433,ABYSSINIA ETHIOPIAN RESTAURANT,2122812673,433.0,,,4.4,"268 WEST  135 STREET, MANHATTAN, NY, 10030 US",,,
434,ACA TE ESPERO,7186198950,434.0,,,2.0,"12920 HILLSIDE AVE, QUEENS, NY, 11418 US",,,
435,ACADEMIA BARILLA RESTAURANT,6466653816,435.0,,,3.7,"1065 AVE OF THE AMERICAS, MANHATTAN, NY, 10018 US",,,
436,ACADEMIA COFFEE,2126506771,436.0,,,,"160 CONVENT AVENUE, MANHATTAN, NY, 10031 US",,,
437,ACADEMY CAFE,9173853856,437.0,,,,"3029 COLLEGE POINT BLVD, QUEENS, NY, 11354 US",,,
438,ACADEMY RESTAURAUNT,7182379326,438.0,,2.0,3.4,"69 LAFAYETTE AVENUE, BROOKLYN, NY, 11217 US",,,
439,ACAI BERRY,3479873880,439.0,,,4.2,"650 MANHATTAN AVE, BROOKLYN, NY, 11222 US",,,
440,ACAPELLA GOURMET PIZZA & RESTAURANT,3478438090,440.0,,,3.6,"124 W 238TH ST, BRONX, NY, 10463 US",,,
